category,title,price,link,image,description,top,middle,base
Women,"Aberchrombie & Fitch, Authentic Away Edp 100Ml W Gift Set","KSh10,900.00",https://cierraperfumes.com/product/aberchrombie-fitch-authentic-away-edp-100ml-w-gift-set/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Aberchrombie-Fitch-Authentic-Away-Edp-100ml-W-Gift-Set.jpeg?resize=300%2C300&ssl=1,"The journey is a trip, but the destination is a feeling. AWAY from Abercrombie & Fitch is an invitation to press pause and just be. AWAY is a floral fruity fragrance capturing an uninhibited moment. The fragrance opens with a restorative blend of Red Currant, Pear & Mandarin, the heart combines plush Muguet petals, Freesia & Jasmine creating a sensual feminine essence. The base envelops you in warm Amber, Musk & Praline creating a dreamy finish to the fragrance.","Top Notes: Brazilian Mandarin, Red Currant, Pear","Heart Notes: Plush Pink Freesia, Muguet and Jasmine","Base Notes: Warm Praline, Amber, Musk"
Women,"Aberchrombie & Fitch, Authentic Night Edp 100Ml W","KSh7,400.00",https://cierraperfumes.com/product/aberchrombie-fitch-authentic-night-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Aberchrombie-Fitch-Authentic-Night-Edp-100ml-W.jpeg?resize=300%2C300&ssl=1,"Authentic Night for Women is for the woman who loves sharing life’s real, raw and unexpected moments with friends. She feels free to express her unfiltered self, whether it is playful or casual elegance.",Fragrance Notes:,"A mouth-watering combination of Black Currant, Pink Pepper, and Pink Lady Apple creates an immediate refreshing first impression. Fresh blossoms of Tuberose and Magnolia pair with Jasmine, adding a unique sense of fluidity to the heart of the fragrance. A warm accord of beloved wood notes of Cedarwood and Sandalwood, with Patchouli lends a sense of freedom to the fragrance.",
Women,"Aberchrombie & Fitch, Authentic Night Edp 100Ml W Gift Set","KSh9,100.00",https://cierraperfumes.com/product/aberchrombie-fitch-authentic-night-edp-100ml-w-gift-set/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Aberchrombie-Fitch-Authentic-Night-Edp-100ml-W-Gift-Set.jpeg?resize=300%2C300&ssl=1,Authentic Night by Abercrombie & Fitch 100ml EDP 3 Piece Gift Set for Women.,3 Piece Set Includes:,– 100ml Eau De Parfum Spray– 200ml Perfumed Body Lotion– 15ml Eau De Parfum Travel Spray.,"Authentic Night for Women is for the woman who loves sharing life’s real, raw and unexpected moments with friends. She feels free to express her unfiltered self, whether it is playful or casual elegance."
Women,"AFNAN, 9AM EDP 100ML W","KSh6,500.00",https://cierraperfumes.com/product/afnan-9am-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/AFNAN-9AM-EDP-100ML-W.jpeg?resize=300%2C300&ssl=1,"Afnan 9am perfume for women is a fruity-spicy fragrance to be worn anytime, any day. Composed of citrus, cardamom, pink pepper, white floral, juniper berry, and cedarwood, this feminine scent finishes well into a woody fragrance but not in a strong but slightly woody scent.","Top Notes: Mandarin, Cedrat, Cardamom and Pink Pepper","Middle Notes: Lavender, Orange Blossom, Rose and Green Apple","Base Notes: Cedarwood, Moss, Patchouli and Musk"
Women,"AFNAN, VIOLET BOUQUET EDP 100ML W","KSh7,300.00",https://cierraperfumes.com/product/afnan-violet-bouquet-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/AFNAN-VIOLET-BOUQUET-EDP-100ML-W.jpeg?resize=300%2C300&ssl=1,"Violet Bouquet is an opulent signature scent of jasmine blossoms and musk, making it the perfect epicurean scent that radiates an amber woody, floral aura, the scent is an epitome of luxury.","Top notes: Sweet, Woody, Saffron, Citrus.","Middle notes: Aromatic, Amber, Orange, Citrus Peel.","Base notes: Fresh Spicy, Ambergris, Oak Moss, Ancient Woods."
Women,"Agent, Provocateur Edp 100Ml W","KSh6,600.00",https://cierraperfumes.com/product/agent-provocateur-edp-100ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Agent-Provocateur-Edp-100ml-W.jpeg?resize=300%2C300&ssl=1,"Agent, Provocateur Edp 100Ml W",,,
Women,"Ajmal, Aristocrat Edp 75Ml W","KSh9,800.00",https://cierraperfumes.com/product/ajmal-aristocrat-edp-75ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/AJMAL-ARISTOCRAT-EDP-75ML-W.jpeg?resize=300%2C300&ssl=1,"Designed to reflect your refined and sophisticated taste in fragrances- Aristocrat is a rich floral woody and amber accord with an immersive character and long-lasting aroma. Crafted around top floral fresh notes of tagetes, orange and bergamot; the eau de parfum encapsulates a heart of saffron.",,,
Women,"Ajmal, Blue Ajmal Edp 50Ml W Sp","KSh5,800.00",https://cierraperfumes.com/product/ajmal-blue-ajmal-edp-50ml-w-sp/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Ajmal-Blue-Ajmal-Edp-50ml-W-Sp.jpeg?resize=300%2C300&ssl=1,"A first of its kind Blue theme fragrance for women from Ajmal. Targeted at new age women, who have a great penchant for adventure, travel and outdoors and look for fragrances that are a bit different from the offerings catered to women. A distinguished aroma that articulately blends top floral fresh notes comprised of Rose and Sage with invigorating ingredients like Cedarwood and Jasmine that form the core of the fragrance. Blu Femme by Ajmal resonates with Cashmere wood, Vanilla and Moss at the base and this floral fresh Eau de Parfum caters to the contemporary tastes of energetic and spirited young women..",Notes,Top : Floral Fresh,Heart : Woody Floral
Women,"AJMAL, RAINDROPS EDP 50ML W","KSh4,200.00",https://cierraperfumes.com/product/ajmal-raindrops-edp-50ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Ajmal-Raindrops-Edp-50ml-W.jpeg?resize=300%2C300&ssl=1,"Combining uplifting Fruity and sensual Floral notes for the ultra-modern woman of today. With a unique mix of Floral, Fruity and Fresh notes, Raindrops is a modern scent, which exudes a sleek and simplistic elegance enveloping the wearer in a delicate weave of contemporary elements. The fragrance, with its clean, back to basics chic is designed to appeal to women who seek practical scents, reminiscent of outdoor freshness.",,,
Women,"Ajmal, Sacrifice Ajmal Edp 50Ml W","KSh5,100.00",https://cierraperfumes.com/product/ajmal-sacrifice-ajmal-edp-50ml-w/,https://i0.wp.com/cierraperfumes.com/wp-content/uploads/Ajmal-Sacrifice-Ajmal-Edp-50ml-W.jpeg?resize=300%2C300&ssl=1,Sacrifice for Her’ is a fragrance designed for the emotional and intelligent woman. The one who wears this scent is a quietly confident woman who is caring and understanding.,Jasmine lends it Floral fortitude enhanced with Aqua notes that lend the fragrance an Aqua-floral top.,Orange blossom and Vanilla combine to provide a Floral-Musky heart.,"The base is reinforced by Amber and Musk to provide Woody, Musky elements."
